full_word,sentence_word_index,total_word_index
RICHARD WATSON,0,12
Mr. Micawber,3,283
Martha,1,418
David Copperfield,6,850
DAVID COPPERFIELD,15,1213
DAVID COPPERFIELD,4,1202
Miss Betsey,8,2249
Betsey,9,2250
Betsey,4,2448
Betsey,15,2703
Betsey,19,2845
Miss Betsey,0,2872
Betsey,28,3042
Miss Betsey,32,3408
Why Rookery,57,3433
Heaven,28,3404
Cookery,4,3442
Mr. Copperfield,32,3470
When,43,3481
David Copperfield,55,3697
Mr. Copperfield,24,3666
Miss Betsey,0,3642
Betsey,9,3852
Miss Betsey,21,4123
Peggotty,52,4154
Betsey,10,4319
Betsey Trotwood Copperfield,14,4427
Betsey Trotwood,9,4440
David,6,4578
Miss Betsey,15,4587
Mr. Copperfield,0,4755
Betsey,0,4857
David,30,5151
Miss Betsey,10,5131
Peggotty,0,5398
Mr. Chillip,38,5855
Chillip,9,6025
Chillip,14,6427
SHE,13,6646
SHE,9,6642
Mr. Chillip,42,6697
Peggotty,15,7491
Lazarus,14,7705
Peggotty,7,7698
Peggotty,2,7934
Bodgers,0,8159
Bodgers,12,8171
Mr. Chillip,6,8186
Peggotty,0,8602
Peggotty,5,8621
Peggotty,8,8726
Peggotty,9,9016
Peggotty,15,9167
Davy,0,9225
Peggotty,18,9254
Peggotty,9,9423
Peggotty,12,9543
Davy,3,9943
Peggotty,0,10035
Peggotty,23,10137
Peggotty,1,10171
Mr. Copperfield,31,10260
Peggotty,40,10269
Peggotty,11,10240
Good Heavens,54,10283
Peggotty,2,10455
Peggotty,6,10610
Peggotty,45,10714
Peggotty,39,10708
Peggotty,5,10792
Davy,29,10823
Davy,33,10870
Peggotty,22,10859
Peggotty,16,10853
Peggotty,21,10937
Peggotty,0,11242
Mr. Murdstone,14,11502
Jones,23,12157
Davy,6,12140
Copperfield,27,12161
Davy,14,12148
Murdstone,11,12145
Copperfield,0,12173
Murdstone,22,12195
Murdstone,20,12241
Brooks,13,12234
Brooks,10,12253
Brooks,12,12280
Murdstone,29,12297
Brooks,41,12346
Brooks,21,12326
Quinion,10,12315
Murdstone,52,12357
Quinion,19,12380
Mr. Quinion,18,12379
Passnidge,36,12821
Quinion,9,12794
Murdstone,17,12851
Mr. Brooks,13,13008
Davy,31,13224
Davy,32,13277
Copperfield,0,13296
Peggotty,13,13389
Davy,0,13376
Ma,6,13382
Peggotty,19,13458
Peggotty,8,13669
Ham,12,13673
Grayper,0,13891
Grayper,0,13894
Grayper,0,13934
Peggotty,0,14314
Peggotty,0,14546
But Peggotty,0,14835
Mas’r Davy,31,15429
Ham,36,15434
Aladdin,4,15440
Daniel,11,15749
Abraham,0,15738
Isaac,6,15744
Sarah Jane,11,15778
Peggotty,25,15892
Ham,25,16157
Mr. Peggotty,16,16319
How,57,16360
Peggotty,9,16488
Little Em’ly,0,16652
Peggotty,0,16692
Peggotty,0,16708
Peggotty,1,16785
Joe,0,16915
Peggotty,8,16923
Peggotty,14,16929
Peggotty,31,16946
Drowndead,26,16941
Ham,10,16958
Peggotty,7,16955
Tom,7,17037
Peggotty,24,17054
Peggotty,41,17071
Drowndead,36,17066
Peggotty,18,17190
Peggotty,25,17197
Peggotty,5,17177
Peggotty,11,17183
Gummidge,0,17172
Gummidge,8,17180
Gummidge,0,17280
Peggotty,9,17306
Peggotty,20,17582
Em’ly,6,17773
Em’ly,6,17955
Dan,27,18043
Dan,34,18050
Dan,47,18063
Dan is Mr. Peggotty,34,18050
Peggotty,18,18162
Emily,0,18266
Ham,6,18302
Em’ly,35,18648
Peggotty,20,19019
Peggotty,35,19058
Em’ly,8,19091
Time,8,19234
Em’ly,2,19255
Em’ly,18,19313
Peggotty,25,19467
Gummidge,0,19442
Gummidge,0,19470
Gummidge,0,19519
Peggotty,1,19542
Gummidge,0,19615
Peggotty,38,19833
Gummidge,0,19912
Peggotty,4,19940
Gummidge,0,19950
Peggotty,0,19965
Em’ly,16,19987
Ham,0,19971
Peggotty,19,20075
Mawther,33,20089
Peggotty,38,20094
Gummidge,0,20056
Gummidge,0,20101
Mr. Peggotty,50,20162
Peggotty,51,20163
Mr. Peggotty,32,20203
Dan’l,11,20182
Gummidge,0,20171
Mr. Peggotty,14,20233
Gummidge,0,20219
Gummidge,0,20255
Mr. Peggotty,31,20305
Peggotty,2,20425
Gummidge,0,20438
Master Davy,10,20540
Gummidge,0,20562
Dan’l,0,20645
Gummidge,0,20664
Peggotty,11,20756
Gummidge,0,20745
Gummidge,26,20771
And,34,20833
Ham,17,20816
Gummidge,0,20836
Peggotty,19,20895
Ham,31,20907
Peggotty,8,21073
Em’ly,10,21086
Gummidge,0,21076
Peggotty,1,21307
Blunderstone Rookery,0,21334
Peggotty,31,21476
Master Davy,53,21551
Master Davy,10,21585
Peggotty,15,21590
Gummidge,0,22413
Poor Peggotty,10,22760
Peggotty,7,22757
Peggotty,22,22932
Murdstone,3,22949
David,17,23145
Gummidge,0,23610
God,9,23708
Murdstone,16,24328
Murdstone,8,24687
Murdstone,3,25084
Murdstone,16,25174
Murdstone,1,25159
Murdstone,1,25199
Clara,56,25284
Mr. Murdstone,52,25280
She,0,25228
Edward,30,25375
Peggotty,13,25358
Miss Murdstone,34,25379
Jane Murdstone,6,25583
Edward,6,25842
Ask Peggotty,0,25881
Edward,18,25974
Jane,0,25990
Jane Murdstone,24,26023
Mr. Murdstone,29,26028
Murdstone,34,26221
Murdstone,8,26257
Murdstone,1,27341
Mr. Murdstone,39,27410
Clara,35,27406
Davy,29,27400
Davy,9,27429
Davy,7,27427
Jane,31,27527
Davy,2,27531
Murdstone,1,27677
Clara,6,28152
Murdstones,24,28210
Peregrine Pickle,9,28363
Gil Blas,26,28380
Don Quixote,23,28377
Tom Jones,15,28369
Humphrey Clinker,12,28366
Roderick Random,6,28360
Robinson Crusoe,30,28384
Vicar of Wakefield,19,28373
Tom Jones,3,28542
Tom Jones,9,28548
Roderick Random,7,28567
Miss Murdstone,19,28921
Edward,3,29019
Edward,13,29029
Clara,16,29032
Mr. Murdstone,20,29036
